SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004849985.1,ENSRNOP00000024884,86.9,84.52,0.0705,0.5692,0.12391
XP_004844147.1,ENSRNOP00000001691,92.05,88.31,0.0484,0.3906,0.1239
XP_004862560.1,ENSRNOP00000047630,86.22,85.87,0.0706,0.5695,0.1239
XP_004867058.1,ENSRNOP00000060264,71.34,76.22,0.1789,1.4438,0.12388
XP_004872645.1,ENSRNOP00000004909,89.27,87.23,0.0569,0.4591,0.12387
XP_004857611.1,ENSRNOP00000005583,87.46,85.33,0.0694,0.5609,0.12377
XP_004834085.1,ENSRNOP00000067537,92.45,88.99,0.0462,0.3732,0.12373
XP_004874836.1,ENSRNOP00000043524,83.24,79.29,0.1101,0.8902,0.12373
XP_004848767.1,ENSRNOP00000010169,86.58,84.39,0.0745,0.6019,0.12372
XP_004852189.1,ENSRNOP00000048130,29.71,43.56,0.8459,6.8434,0.12361
XP_004834442.1,ENSRNOP00000067519,86.61,84.71,0.0709,0.5736,0.12353
XP_004841336.1,ENSRNOP00000034573,88.72,85.46,0.0648,0.5245,0.12353
XP_004852176.1,ENSRNOP00000027925,79.13,79.13,0.1233,0.9981,0.12351
XP_004848847.1,ENSRNOP00000016846,80.03,80.03,0.1186,0.9603,0.12348
XP_004848410.1,ENSRNOP00000034838,66.67,71.99,0.213,1.7255,0.12346
XP_004838933.1,ENSRNOP00000064164,84.29,84.38,0.0866,0.7018,0.12345
XP_004874548.1,ENSRNOP00000008285,84.46,83.33,0.0975,0.7902,0.12344
XP_004840650.1,ENSRNOP00000067584,86.81,86.1,0.0666,0.5399,0.12343
XP_004838556.1,ENSRNOP00000067720,85.8,83.91,0.0771,0.6248,0.12342
XP_004859008.1,ENSRNOP00000037384,89.57,85.58,0.0604,0.4893,0.12339
XP_004842336.1,ENSRNOP00000047258,90.95,87.96,0.0501,0.4057,0.12337
XP_004854961.1,ENSRNOP00000000101,82.35,81.54,0.106,0.8592,0.12337
XP_004862042.1,ENSRNOP00000004293,86.9,85.23,0.0715,0.5793,0.12337
XP_004871579.1,ENSRNOP00000066559,86.55,82.63,0.0864,0.7,0.12337
XP_004866960.1,ENSRNOP00000027777,83.14,81.05,0.097,0.7862,0.12336
XP_004840210.1,ENSRNOP00000001916,75.87,78.36,0.1398,1.1337,0.12333
XP_004836941.1,ENSRNOP00000015373,75.84,76.22,0.1424,1.1544,0.12332
XP_004856608.1,ENSRNOP00000062018,90.95,88.15,0.0482,0.3911,0.1233
XP_004845031.1,ENSRNOP00000029575,85.74,84.23,0.0857,0.6949,0.12329
XP_004869624.1,ENSRNOP00000064046,78.28,79.23,0.1244,1.0094,0.12329
XP_004852130.1,ENSRNOP00000016318,87.5,83.92,0.0877,0.7117,0.12328
XP_004858579.1,ENSRNOP00000038466,60.37,66.97,0.2907,2.3578,0.12328
XP_004867592.1,ENSRNOP00000055632,79.76,79.21,0.1213,0.984,0.12327
XP_004875058.1,ENSRNOP00000053134,84.23,81.79,0.0958,0.7776,0.12325
XP_004867299.1,ENSRNOP00000007854,90.82,88.42,0.0513,0.417,0.1231
XP_004860298.1,ENSRNOP00000031561,85.57,84.19,0.0758,0.6156,0.12308
XP_004839314.1,ENSRNOP00000009634,87.15,85.17,0.0708,0.5755,0.12306
XP_004872848.1,ENSRNOP00000052159,90.59,87.97,0.053,0.4304,0.12305
XP_004835641.1,ENSRNOP00000030552,87.28,85.64,0.0725,0.5894,0.12303
XP_004835910.1,ENSRNOP00000009697,83.42,81.57,0.0992,0.8065,0.12302
XP_004847440.1,ENSRNOP00000018477,65.59,72.35,0.2273,1.8476,0.12301
XP_004852252.1,ENSRNOP00000022486,87.02,85.76,0.0676,0.5495,0.123
XP_004838887.1,ENSRNOP00000015186,86.77,84.44,0.0709,0.5762,0.12299
XP_004846048.1,ENSRNOP00000017911,81.42,77.71,0.1221,0.9932,0.12298
XP_004847940.1,ENSRNOP00000026305,41.65,50.54,0.6326,5.1448,0.12296
XP_004837525.1,ENSRNOP00000016208,71.93,75.05,0.1814,1.4757,0.12295
XP_004851119.1,ENSRNOP00000010884,83.85,83.73,0.0893,0.7265,0.12295
XP_004838965.1,ENSRNOP00000019681,90.85,85.62,0.067,0.5446,0.12294
XP_004868065.1,ENSRNOP00000050069,77.42,75.58,0.1704,1.3867,0.12291
XP_004855322.1,ENSRNOP00000016656,84.97,81.34,0.093,0.7571,0.1229
XP_004853812.1,ENSRNOP00000027042,89.85,86.94,0.0552,0.4495,0.12289
XP_004842058.1,ENSRNOP00000056087,83.33,81.06,0.1032,0.8403,0.12287
XP_004853454.1,ENSRNOP00000003452,86.1,85.39,0.0736,0.5989,0.12287
XP_004836832.1,ENSRNOP00000004269,87.12,82.7,0.0856,0.6968,0.12284
XP_004862996.1,ENSRNOP00000042281,86.01,85.42,0.0742,0.6041,0.12281
XP_004865310.1,ENSRNOP00000055684,86.19,84.48,0.074,0.6026,0.12278
XP_004850275.1,ENSRNOP00000047118,81.97,77.47,0.1285,1.0464,0.12277
XP_004835577.1,ENSRNOP00000035399,87.21,84.19,0.0744,0.606,0.12274
XP_004872969.1,ENSRNOP00000024841,90.49,87.83,0.0511,0.4163,0.12274
XP_004870611.1,ENSRNOP00000057936,66.74,73.35,0.2085,1.6998,0.12264
XP_004840334.1,ENSRNOP00000025674,78.48,78.77,0.1225,0.999,0.12262
XP_004847948.1,ENSRNOP00000026076,88.35,85.44,0.0663,0.5409,0.12258
XP_004836885.1,ENSRNOP00000019689,81.51,79.49,0.1184,0.9664,0.12255
XP_004855912.1,ENSRNOP00000003150,86.98,85.26,0.0704,0.5745,0.12255
XP_004843519.1,ENSRNOP00000060468,84.93,84.89,0.0808,0.6596,0.12254
XP_004871278.1,ENSRNOP00000025986,87.76,84.08,0.0763,0.623,0.12254
XP_004870443.1,ENSRNOP00000004540,89.41,87.51,0.0536,0.4373,0.12251
XP_004871419.1,ENSRNOP00000024364,95.02,91.39,0.0322,0.2629,0.1225
XP_004859148.1,ENSRNOP00000066427,61.54,67.24,0.2794,2.282,0.12244
XP_004858258.1,ENSRNOP00000061248,86.53,84.42,0.0825,0.6741,0.12242
XP_004837412.1,ENSRNOP00000014775,88.3,86.7,0.0622,0.5084,0.12241
XP_004847267.1,ENSRNOP00000037291,87.94,83.31,0.077,0.629,0.12239
XP_004864711.1,ENSRNOP00000009735,85.62,82.78,0.0831,0.6793,0.12239
XP_004840583.1,ENSRNOP00000038864,81.15,81.89,0.1009,0.825,0.12234
XP_004867198.1,ENSRNOP00000021200,84.82,82.72,0.0846,0.692,0.12228
XP_004855707.1,ENSRNOP00000021337,87.75,86.11,0.0642,0.5254,0.12219
XP_004847979.1,ENSRNOP00000017361,88.98,86.57,0.0591,0.4836,0.12215
XP_004839060.1,ENSRNOP00000023404,87.45,83.85,0.0737,0.6032,0.12213
XP_004859511.1,ENSRNOP00000012812,94.63,93.43,0.0252,0.2066,0.12212
XP_004871543.1,ENSRNOP00000042360,90.34,87.55,0.0608,0.4981,0.12211
XP_004839896.1,ENSRNOP00000008948,86.64,83.67,0.0749,0.6137,0.12208
XP_004869663.1,ENSRNOP00000011767,90.38,86.21,0.06,0.4915,0.12205
XP_004853210.1,ENSRNOP00000016167,84.18,82.17,0.091,0.7456,0.12201
XP_004861419.1,ENSRNOP00000050215,85.64,83.99,0.0812,0.6654,0.12199
XP_004849739.1,ENSRNOP00000002809,89.17,88.57,0.0557,0.4563,0.12198
XP_004845892.1,ENSRNOP00000012212,83.93,82.43,0.0901,0.739,0.12197
XP_004859630.1,ENSRNOP00000013580,80.17,78.38,0.1309,1.0736,0.12195
XP_004840306.1,ENSRNOP00000019396,86.59,84.21,0.0746,0.6118,0.12194
XP_004874734.1,ENSRNOP00000012427,83.24,84.57,0.0843,0.6911,0.12194
XP_004834593.1,ENSRNOP00000065083,80.1,78.01,0.1227,1.0064,0.12193
XP_004857113.1,ENSRNOP00000031472,94.49,93.77,0.0253,0.2074,0.1219
XP_004835461.1,ENSRNOP00000014491,83.37,82.59,0.0934,0.7662,0.12187
XP_004872863.1,ENSRNOP00000052152,87.84,85.83,0.0653,0.5358,0.12187
XP_004864149.1,ENSRNOP00000049261,89.07,86.48,0.06,0.493,0.1218
XP_004865050.1,ENSRNOP00000043003,79.59,77.1,0.1324,1.0874,0.1218
XP_004853132.1,ENSRNOP00000014202,88.43,88.03,0.0596,0.4894,0.12176
XP_004835689.1,ENSRNOP00000003340,85.01,83.17,0.0842,0.692,0.12174
XP_004859752.1,ENSRNOP00000004400,81.24,79.73,0.1113,0.9146,0.12174
XP_004842396.1,ENSRNOP00000002717,83.72,81.65,0.0978,0.8033,0.12173
XP_004856411.1,ENSRNOP00000033117,89.2,85.03,0.0689,0.5662,0.12172
XP_004836218.1,ENSRNOP00000033699,89.81,89.13,0.0505,0.415,0.12168
XP_004836435.1,ENSRNOP00000005478,86.13,84.08,0.0758,0.6233,0.12167
XP_004871294.1,ENSRNOP00000015793,85.84,82.66,0.0864,0.7103,0.12166
XP_004862955.1,ENSRNOP00000014074,86.76,85.46,0.0714,0.587,0.12165
XP_004840859.1,ENSRNOP00000028901,87.44,85.33,0.0674,0.5541,0.12163
XP_004875380.1,ENSRNOP00000044604,84.23,84.11,0.0816,0.6707,0.12162
XP_004873088.1,ENSRNOP00000054275,91.89,88.2,0.0454,0.3733,0.12159
XP_004843660.1,ENSRNOP00000001577,74.85,79.88,0.1501,1.2346,0.12156
XP_004863999.1,ENSRNOP00000060101,90.19,87.7,0.05,0.4113,0.12156
XP_004853335.1,ENSRNOP00000063665,87.36,85.73,0.0657,0.5406,0.12155
XP_004841827.1,ENSRNOP00000066707,88.72,86.11,0.0627,0.5157,0.12151
XP_004843619.1,ENSRNOP00000001659,88.86,86.54,0.0613,0.5048,0.12151
XP_004847975.1,ENSRNOP00000015718,86.43,84.1,0.0759,0.6244,0.12151
XP_004865538.1,ENSRNOP00000063831,77.83,77.87,0.1364,1.1226,0.12151
XP_004841946.1,ENSRNOP00000024313,90.87,87.28,0.0532,0.4379,0.12146
XP_004843124.1,ENSRNOP00000060767,83.38,79.43,0.1028,0.8464,0.12146
XP_004850297.1,ENSRNOP00000007999,86.58,84.94,0.0722,0.5947,0.12144
XP_004872893.1,ENSRNOP00000024700,78.17,76.87,0.1379,1.1352,0.12144
XP_004861286.1,ENSRNOP00000008941,89.22,87.03,0.055,0.4528,0.12138
XP_004872273.1,ENSRNOP00000005014,89.63,86.79,0.0561,0.4626,0.12135
XP_004862770.1,ENSRNOP00000033943,87.01,83.71,0.0748,0.6162,0.12132
XP_004847522.1,ENSRNOP00000036466,81.8,80.3,0.11,0.9077,0.12115
XP_004849984.1,ENSRNOP00000044665,93.49,90.73,0.0358,0.2952,0.12112
XP_004848852.1,ENSRNOP00000018927,76.56,77.71,0.1348,1.1129,0.12109
XP_004834854.1,ENSRNOP00000042917,85.69,83.44,0.0769,0.6354,0.12108
XP_004862152.1,ENSRNOP00000061845,83.89,83.17,0.0962,0.7945,0.12108
XP_004854918.1,ENSRNOP00000063888,80.39,81.37,0.1164,0.9617,0.12107
XP_004850796.1,ENSRNOP00000017549,89.26,87.28,0.0575,0.4749,0.12105
XP_004863249.1,ENSRNOP00000008138,85.77,79.79,0.1047,0.8652,0.12098
XP_004840397.1,ENSRNOP00000043105,83.33,81.71,0.0953,0.7877,0.12095
XP_004836319.1,ENSRNOP00000067371,78.1,81.51,0.1146,0.9477,0.12091
XP_004867463.1,ENSRNOP00000065086,74.4,77.08,0.1556,1.2868,0.1209
XP_004870358.1,ENSRNOP00000038016,90.34,87.11,0.0548,0.4529,0.12089
XP_004872762.1,ENSRNOP00000014310,89.14,86.42,0.0582,0.4818,0.12089
XP_004839715.1,ENSRNOP00000010350,88.69,85.86,0.0614,0.5078,0.12085
XP_004850416.1,ENSRNOP00000038610,79.85,81.75,0.1086,0.8985,0.12085
XP_004857412.1,ENSRNOP00000025372,90.11,85.77,0.0595,0.4922,0.12085
XP_004842237.1,ENSRNOP00000009874,84.51,82.78,0.0865,0.7156,0.12083
XP_004866715.1,ENSRNOP00000023744,82.37,81.22,0.1019,0.8432,0.12082
XP_004858709.1,ENSRNOP00000004279,93.55,92.34,0.0319,0.2645,0.12075
XP_004836181.1,ENSRNOP00000058783,87.98,84.24,0.0699,0.5793,0.12069
XP_004858111.1,ENSRNOP00000037329,75.46,78.17,0.142,1.1768,0.12069
XP_004840727.1,ENSRNOP00000009681,91.08,87.93,0.0529,0.438,0.12068
XP_004856313.1,ENSRNOP00000051863,88.72,85.97,0.0619,0.5128,0.12066
XP_004871881.1,ENSRNOP00000048698,97.52,96.48,0.012,0.0997,0.12063
XP_004854669.1,ENSRNOP00000003526,88.25,85.17,0.0723,0.5996,0.12062
XP_004841226.1,ENSRNOP00000008981,79.45,79.84,0.1207,1.0011,0.1206
XP_004842256.1,ENSRNOP00000046624,87.5,87.04,0.0609,0.5054,0.12059
XP_004847447.1,ENSRNOP00000020154,80.25,80.95,0.1113,0.9227,0.12058
XP_004874696.1,ENSRNOP00000012102,82.98,81.64,0.0949,0.7871,0.12058
XP_004845135.1,ENSRNOP00000002638,90.24,87.28,0.0558,0.4633,0.12055
XP_004870719.1,ENSRNOP00000043425,92.96,90.07,0.0397,0.3296,0.12053
XP_004845526.1,ENSRNOP00000012699,91.88,89.17,0.0433,0.359,0.12052
XP_004843956.1,ENSRNOP00000001668,79.33,76.63,0.1351,1.121,0.1205
XP_004875096.1,ENSRNOP00000063449,83.41,83.11,0.0918,0.7619,0.1205
XP_004852048.1,ENSRNOP00000000052,71.05,75.69,0.1976,1.64,0.12047
XP_004835592.1,ENSRNOP00000064907,79.15,79.44,0.1193,0.9907,0.12046
XP_004836729.1,ENSRNOP00000016440,82.95,84.06,0.0946,0.7852,0.12044
XP_004842098.1,ENSRNOP00000007994,93.58,91.43,0.0335,0.2783,0.12044
XP_004852608.1,ENSRNOP00000028749,79.75,80.17,0.1282,1.0644,0.12044
XP_004858055.1,ENSRNOP00000002188,88.01,86.23,0.0614,0.5095,0.12043
XP_004870460.1,ENSRNOP00000038582,92.69,89.62,0.0467,0.3877,0.12043
XP_004872025.1,ENSRNOP00000011207,90.35,87.89,0.0504,0.4183,0.12039
XP_004860939.1,ENSRNOP00000064500,81.09,80.85,0.1128,0.9371,0.12037
XP_004862349.1,ENSRNOP00000048485,78.19,81.91,0.1192,0.99,0.12037
XP_004860864.1,ENSRNOP00000067647,58.44,64.79,0.3259,2.708,0.12036
XP_004865045.1,ENSRNOP00000006776,90.42,87.1,0.0542,0.4507,0.12035
XP_004872099.1,ENSRNOP00000025289,88.73,85.95,0.0662,0.5504,0.12034
XP_004848279.1,ENSRNOP00000061172,85.41,81.04,0.0995,0.8267,0.12033
XP_004844263.1,ENSRNOP00000014909,85.78,83.65,0.0796,0.6615,0.12031
XP_004851454.1,ENSRNOP00000059649,90.83,89.58,0.0435,0.3614,0.12029
XP_004838052.1,ENSRNOP00000008785,85.92,84.47,0.0753,0.6264,0.12022
XP_004844058.1,ENSRNOP00000055384,74.91,77.18,0.1497,1.2458,0.1202
XP_004845800.1,ENSRNOP00000012588,89.89,87.41,0.0644,0.5362,0.12017
XP_004841212.1,ENSRNOP00000009097,84.26,84.11,0.0862,0.7173,0.12016
XP_004837043.1,ENSRNOP00000060627,94.57,92.99,0.0263,0.2188,0.12014
XP_004858721.1,ENSRNOP00000004713,88.1,85,0.0676,0.5629,0.12014
XP_004842909.1,ENSRNOP00000025625,81.18,83.15,0.1011,0.8417,0.12013
XP_004846341.1,ENSRNOP00000011554,89.8,88.21,0.0497,0.4137,0.12012
XP_004834943.1,ENSRNOP00000042149,87.06,85.14,0.0739,0.6155,0.1201
XP_004871872.1,ENSRNOP00000011392,87.46,84.78,0.0659,0.5487,0.1201
XP_004856796.1,ENSRNOP00000016303,86.41,82.61,0.0852,0.7092,0.12009
XP_004853695.1,ENSRNOP00000066608,90.06,86.95,0.0589,0.4901,0.12008
XP_004834893.1,ENSRNOP00000055204,85.96,85.02,0.0749,0.6241,0.12006
XP_004844351.1,ENSRNOP00000018362,82.63,83.26,0.0969,0.8067,0.12006
XP_004875255.1,ENSRNOP00000019637,88.75,85.82,0.0666,0.5546,0.12006
XP_004850924.1,ENSRNOP00000010983,85.09,82.35,0.0863,0.719,0.12005
XP_004865686.1,ENSRNOP00000067356,76.99,77.55,0.151,1.2579,0.12004
XP_004874719.1,ENSRNOP00000014091,86.93,84.42,0.0707,0.5894,0.12002
XP_004850399.1,ENSRNOP00000016176,72.81,75.83,0.1858,1.5483,0.12
XP_004873849.1,ENSRNOP00000056900,82.43,80.74,0.1038,0.8654,0.12
XP_004857219.1,ENSRNOP00000050774,90.99,87.99,0.0492,0.41,0.11999
XP_004860868.1,ENSRNOP00000067877,79.19,81.17,0.1195,0.9958,0.11998
XP_004835267.1,ENSRNOP00000002450,86.46,82.92,0.0788,0.6571,0.11996
XP_004849638.1,ENSRNOP00000033421,70,76.11,0.1745,1.4558,0.1199
XP_004860104.1,ENSRNOP00000006805,91.81,88.48,0.0447,0.3731,0.1199
XP_004874966.1,ENSRNOP00000031829,86.01,83.51,0.0789,0.6586,0.11985
XP_004868465.1,ENSRNOP00000053451,73.25,75.74,0.1738,1.4502,0.11984
XP_004838663.1,ENSRNOP00000047674,87.54,86.19,0.0643,0.5368,0.11982
XP_004840610.1,ENSRNOP00000001939,78.41,80.29,0.124,1.0354,0.11978
XP_004858831.1,ENSRNOP00000020474,87.27,85.91,0.0652,0.544,0.11978
XP_004845047.1,ENSRNOP00000041552,84.22,82.46,0.0904,0.7548,0.11976
XP_004869179.1,ENSRNOP00000063437,88.1,85.05,0.0704,0.5881,0.11969
XP_004864215.1,ENSRNOP00000024337,88.89,85.82,0.0625,0.5222,0.11964
XP_004867994.1,ENSRNOP00000022115,84.55,83.48,0.0824,0.6886,0.11959
XP_004852304.1,ENSRNOP00000025343,92.41,87.35,0.0535,0.4474,0.11958
XP_004838101.1,ENSRNOP00000049586,88.21,85.25,0.068,0.5684,0.11956
XP_004863140.1,ENSRNOP00000055404,89.83,87.71,0.0516,0.4319,0.11955
XP_004872512.1,ENSRNOP00000009806,82.07,80.93,0.1025,0.8579,0.11953
XP_004842081.1,ENSRNOP00000060953,87.96,86.73,0.0618,0.517,0.1195
XP_004862559.1,ENSRNOP00000010081,90.21,87.59,0.0524,0.4384,0.11949
XP_004869030.1,ENSRNOP00000036787,88.24,83.6,0.0748,0.6259,0.11949
XP_004835223.1,ENSRNOP00000014384,94.24,90.91,0.0406,0.3398,0.11947
XP_004838809.1,ENSRNOP00000022971,85.19,83.58,0.0809,0.6775,0.11947
XP_004851391.1,ENSRNOP00000054481,87.8,84.02,0.0737,0.6166,0.11947
XP_004869093.1,ENSRNOP00000017592,90.27,88.2,0.0527,0.441,0.11947
XP_004839849.1,ENSRNOP00000063856,83.66,80.5,0.0983,0.8233,0.11945
XP_004845924.1,ENSRNOP00000009151,89.56,87.7,0.0523,0.438,0.11942
XP_004853487.1,ENSRNOP00000061070,88.83,87.49,0.0582,0.4876,0.11942
XP_004854915.1,ENSRNOP00000015233,84.42,83.49,0.0797,0.6674,0.11942
XP_004861300.1,ENSRNOP00000010639,93.56,91.69,0.0343,0.2872,0.11942
XP_004835221.1,ENSRNOP00000039808,86.19,82.43,0.0893,0.749,0.11928
XP_004850759.1,ENSRNOP00000012463,86.56,84.72,0.0743,0.6231,0.11928
XP_004864748.1,ENSRNOP00000005718,85.87,83.62,0.0788,0.6605,0.11928
XP_004837625.1,ENSRNOP00000035906,84.9,83.82,0.0845,0.7089,0.11926
XP_004847418.1,ENSRNOP00000036262,81.37,81.08,0.0996,0.8356,0.11921
XP_004834358.1,ENSRNOP00000046247,88.89,86.33,0.0622,0.5219,0.11916
XP_004861293.1,ENSRNOP00000046983,93.24,90.99,0.0347,0.2914,0.11915
XP_004845501.1,ENSRNOP00000013994,77.37,78.33,0.1295,1.0871,0.11913
XP_004848209.1,ENSRNOP00000014888,85.62,83.29,0.079,0.6635,0.11912
XP_004854720.1,ENSRNOP00000025695,80.8,78.93,0.1154,0.9687,0.11911
XP_004842600.1,ENSRNOP00000039946,82.66,80.77,0.1034,0.8684,0.11909
XP_004845325.1,ENSRNOP00000056322,71.3,74.32,0.1736,1.4582,0.11904
XP_004854112.1,ENSRNOP00000028730,85.71,84.7,0.075,0.6302,0.11901
XP_004856144.1,ENSRNOP00000060687,86.24,83.94,0.0734,0.6167,0.11898
XP_004851491.1,ENSRNOP00000021858,86.99,85.31,0.0732,0.6156,0.11891
XP_004855494.1,ENSRNOP00000000304,88.64,85.44,0.0648,0.545,0.11889
XP_004864263.1,ENSRNOP00000014391,90.18,87.56,0.0546,0.4593,0.11886
XP_004836713.1,ENSRNOP00000013864,81.14,81.99,0.1061,0.8925,0.11885
XP_004870110.1,ENSRNOP00000015525,79.87,80.16,0.1067,0.8977,0.11883
XP_004868956.1,ENSRNOP00000025013,86.04,82.11,0.0878,0.7386,0.11882
XP_004854429.1,ENSRNOP00000025892,92.27,90.12,0.0403,0.3391,0.11875
XP_004869494.1,ENSRNOP00000022874,84.19,79.84,0.1106,0.9322,0.11868
XP_004870484.1,ENSRNOP00000046025,86.69,83.03,0.0927,0.781,0.11865
XP_004840887.1,ENSRNOP00000061619,88.93,86.27,0.0597,0.5033,0.1186
XP_004860728.1,ENSRNOP00000005942,88.64,85.13,0.0636,0.5363,0.11854
XP_004852974.1,ENSRNOP00000059489,88.19,83.4,0.0769,0.6487,0.11852
XP_004846206.1,ENSRNOP00000054681,86.49,83.76,0.0744,0.6275,0.1185
XP_004857458.1,ENSRNOP00000020970,88.79,84.48,0.0662,0.5586,0.11849
XP_004869642.1,ENSRNOP00000022774,80.85,82.26,0.103,0.8694,0.11849
XP_004855344.1,ENSRNOP00000025764,80.68,80.14,0.1068,0.9017,0.11847
XP_004857292.1,ENSRNOP00000031588,91.65,89.07,0.0437,0.369,0.11846
XP_004840265.1,ENSRNOP00000064637,76.79,77.07,0.1494,1.2618,0.11844
XP_004841832.1,ENSRNOP00000027755,84.62,83.17,0.0823,0.6948,0.11844
XP_004840199.1,ENSRNOP00000061895,76.55,74.02,0.1762,1.4878,0.11843
XP_004846264.1,ENSRNOP00000000672,80.63,81.48,0.1065,0.8997,0.11838
XP_004874447.1,ENSRNOP00000026651,87.63,84.77,0.0684,0.5778,0.11838
XP_004862070.1,ENSRNOP00000006395,80.88,80.79,0.1055,0.8914,0.11837
XP_004842257.1,ENSRNOP00000049545,90.23,87.54,0.0515,0.4353,0.11835
XP_004840873.1,ENSRNOP00000007893,82.58,81.42,0.0978,0.8268,0.11828
XP_004834564.1,ENSRNOP00000016016,92.41,89.06,0.0457,0.3866,0.11825
XP_004870813.1,ENSRNOP00000031637,84.69,82.38,0.0864,0.7306,0.11825
XP_004843274.1,ENSRNOP00000020341,81.82,82.86,0.1052,0.8898,0.11823
XP_004847922.1,ENSRNOP00000022244,88.7,85.05,0.068,0.5753,0.11823
XP_004855496.1,ENSRNOP00000018891,86.26,82.38,0.0794,0.6717,0.11823
XP_004859144.1,ENSRNOP00000027166,85.71,84.56,0.08,0.6769,0.11821
XP_004836411.1,ENSRNOP00000024580,86.59,84.45,0.0797,0.6745,0.1182
XP_004841909.1,ENSRNOP00000026112,88.38,85.9,0.0664,0.5617,0.11815
XP_004847811.1,ENSRNOP00000048651,87.62,85.64,0.0679,0.5749,0.11814
XP_004836447.1,ENSRNOP00000007408,85.34,83.94,0.0861,0.7291,0.11808
XP_004855931.1,ENSRNOP00000003412,83.23,81.16,0.1006,0.8516,0.11808
XP_004852688.1,ENSRNOP00000051732,93.88,89.83,0.0422,0.3577,0.11803
XP_004865462.1,ENSRNOP00000009532,73.5,74.11,0.1746,1.4791,0.11803
XP_004862810.1,ENSRNOP00000005439,92.6,91.15,0.0371,0.3144,0.11802
XP_004836598.1,ENSRNOP00000064722,87.16,82.51,0.0911,0.7718,0.118
XP_004858468.1,ENSRNOP00000059281,88.67,85.8,0.0609,0.5161,0.11799
XP_004861157.1,ENSRNOP00000005694,84.45,80.81,0.0888,0.7527,0.11799
XP_004866267.1,ENSRNOP00000065383,76.57,75.02,0.153,1.2972,0.11795
XP_004835489.1,ENSRNOP00000012447,85.81,82.17,0.0851,0.7219,0.11794
XP_004835795.1,ENSRNOP00000041453,89.26,86.81,0.056,0.4751,0.11793
XP_004842705.1,ENSRNOP00000035742,78.05,78.25,0.1342,1.1378,0.11792
XP_004846621.1,ENSRNOP00000065504,74.71,79.41,0.1367,1.1592,0.11792
XP_004840134.1,ENSRNOP00000001970,84.67,81.93,0.0884,0.7497,0.11791
XP_004849090.1,ENSRNOP00000017029,77.66,78.84,0.1371,1.1627,0.11788
XP_004856000.1,ENSRNOP00000025309,87.58,84.16,0.0722,0.6125,0.11787
XP_004872577.1,ENSRNOP00000009606,85.54,82.63,0.0794,0.674,0.11785
XP_004853219.1,ENSRNOP00000017187,87.85,86.71,0.062,0.5267,0.11771
XP_004844791.1,ENSRNOP00000064987,78.03,77.51,0.1315,1.1176,0.1177
XP_004852749.1,ENSRNOP00000065122,90.47,87.09,0.0542,0.461,0.1176
XP_004844711.1,ENSRNOP00000009269,89.74,86.41,0.056,0.4762,0.11757
XP_004874221.1,ENSRNOP00000026021,86.69,80.35,0.1005,0.8548,0.11757
XP_004856888.1,ENSRNOP00000066186,87.69,83.25,0.0816,0.6941,0.11756
XP_004844243.1,ENSRNOP00000021752,89.42,87.43,0.0575,0.4889,0.11755
XP_004863031.1,ENSRNOP00000026531,89.84,85.86,0.0613,0.5213,0.11755
XP_004843717.1,ENSRNOP00000063855,92.13,89.89,0.04,0.3402,0.11753
XP_004845471.1,ENSRNOP00000017906,88.22,86.51,0.066,0.5612,0.11753
XP_004834752.1,ENSRNOP00000000780,67.21,68.85,0.2324,1.9771,0.11752
XP_004838181.1,ENSRNOP00000015063,78.54,78.48,0.1292,1.0993,0.1175
XP_004841082.1,ENSRNOP00000013105,89.12,82.7,0.0765,0.6513,0.11746
XP_004835341.1,ENSRNOP00000010723,90.43,88.79,0.0479,0.4079,0.11742
XP_004856722.1,ENSRNOP00000023459,94.15,91.47,0.0305,0.26,0.1174
XP_004858848.1,ENSRNOP00000033949,87.71,84.08,0.07,0.5959,0.1174
XP_004851302.1,ENSRNOP00000017909,86.15,82.62,0.0875,0.7454,0.11739
XP_004869623.1,ENSRNOP00000016756,82.64,83.33,0.0985,0.8391,0.11737
XP_004866922.1,ENSRNOP00000039388,80.77,80.06,0.1071,0.9129,0.11732
XP_004875151.1,ENSRNOP00000042696,89.19,89.19,0.049,0.4174,0.11729
XP_004846511.1,ENSRNOP00000027031,72.9,75.5,0.1781,1.5189,0.11727
XP_004872843.1,ENSRNOP00000052164,88.52,83.95,0.0705,0.6017,0.11724
XP_004859976.1,ENSRNOP00000063450,81.34,78.95,0.1119,0.9548,0.11719
XP_004834436.1,ENSRNOP00000043760,90.34,88.54,0.0496,0.423,0.11718
XP_004834963.1,ENSRNOP00000002321,88.69,85.01,0.0674,0.5752,0.11717
XP_004872814.1,ENSRNOP00000061329,91.23,89.13,0.0446,0.3807,0.11714
XP_004850533.1,ENSRNOP00000020215,80.42,82.14,0.1096,0.9354,0.11713
XP_004836112.1,ENSRNOP00000067466,78.17,79.53,0.1224,1.0448,0.11712
XP_004850183.1,ENSRNOP00000010696,90.32,88.25,0.0495,0.4222,0.11712
XP_004874768.1,ENSRNOP00000037005,73.37,74.24,0.1851,1.5804,0.11709
XP_004847346.1,ENSRNOP00000045713,81.63,81.57,0.1008,0.8612,0.11708
XP_004871303.1,ENSRNOP00000017735,92.43,89.57,0.0402,0.3433,0.11708
